name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,domesticos,protegidos,exoticos
Rockhopper Penguin,"['Antarctica', 'Ocean', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysocome,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rocky Antarctic Islands,Carnivore,2,Colony,Unknown,Unkown,Unknown,There are 3 different species!,Unknown,GreyBlackWhite,Feathers,Unknown,15 - 20 years,2kg - 5kg (4.4lbs - 11lbs),Unknown,Unknown,Unknown,Unknown,"Leopard Seal, Killer Whale, Sharks",Bird,45cm - 58cm (18in - 23in),"Red beaks and eyes, with yellow head feathers",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Krill, Fish, Shrimp",Unknown,Unknown,Unknown,Unknown,Krill,Unknown,Unknown,1,0,0
Eastern Bluebird,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia,Sialia sialis,"Insects, snails, spiders, beetles, earthworms, grasshoppers, katydids, crickets and other small invertebrates.",Unknown,Unknown,20 million,"Habitat destruction, invasive species, pet cats",The bright blue color of the male’s feathers,Blue robin,Unknown,"Habitat includes farmland, open country, parks, orchards, backyards, hedgerows",Omnivore,Unknown,Unknown,Bluebird,8.0,North and Central America east of the Rocky Mountains,Unknown,Unknown,RedBlueWhiteOrange,Feathers,17 mph,Six to 10 years,0.95 to 1.2 ounces,6.3 to 8.3 inches,Unknown,Unknown,Three to seven,"Rodents, black bears, raccoons, snakes, cats, birds of prey and fire ants.",Bird,Unknown,Unknown,Unknown,Unknown,9.8 to 12.6 inches across,About two weeks.,Unknown,7.0,Unknown,Unknown,Unknown,Abandoned woodpecker hole or other tree cavities a few feet from the ground.,15 days,Unknown,Unknown,1.0,1,0,0
Egyptian Goose,['Africa'],Animalia,Chordata,Aves,Anseriformes,Anatidae,Alopochen,Alopochen aegyptiacus,"Insects, frogs, terrestrial worms",Unknown,Unknown,"200,000 - 500,000",Hunting due to perception as an invasive species,"A ""mask"" around the eye area","Nile Goose, Bata",Unknown,"Open wetland areas such as rivers, estuaries, marshes, lakes",Omnivore,Unknown,Unknown,Egyptian Goose,10.0,"Africa, Asia, Europe, North America",Unknown,Unknown,BrownWhite,Feathers,70 mph,15-25 years,2.2lbs - 8.8lbs,25-29 inches,Unknown,Unknown,5-12,"Baboons, eagles, hawks",Bird,24.8in - 28.7in,Unknown,Unknown,Unknown,15 in.,4 weeks,Unknown,Unknown,Unknown,Unknown,Unknown,On the ground near trees or in dense vegetation,10-12 weeks,Unknown,Unknown,Unknown,0,0,1
Whooping Crane,['North-America'],Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,Grus americana,Unknown,Unknown,Unknown,50 to 250,Unknown,Unknown,Unknown,Unknown,"Marshes, wetlands, mudflats, and wet prairies of the United States and Canada.",Omnivore,Unknown,Unknown,Whooping Crane,1.0,Unknown,Unknown,Unknown,White,Feathers,Unknown,22 to 30 years,Unknown,Unknown,Unknown,Unknown,Unknown,"Foxes, coyotes, eagles, wolves, wolverines, and black bears.",Bird,5ft,Unknown,Unknown,Unknown,7.5 feet,A month,Unknown,Unknown,"Crustaceans, small fish, insects, amphibians, and reptiles.",Unknown,Unknown,Ground,80 to 100 days,Unknown,Unknown,1.0,1,0,0
Tawny Owl,"['Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,Strix aluco,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Dense forest and open woodland,Omnivore,Unknown,Solitary,Unknown,Unkown,Unknown,The most widespread owl in Europe!,Unknown,BrownGreyBlackWhiteTan,Feathers,50 mph,4 - 6 years,350g - 650g (12oz - 23oz),Unknown,Unknown,Unknown,Unknown,"Hawks, Eagles, Buzzards",Bird,38cm - 43cm (15in - 17in),Large eyes and fantastic hearing,Unknown,Unknown,81cm - 105cm (32in - 41in),Unknown,Unknown,3.0,"Mice, Vole, Insects",Unknown,Unknown,Unknown,Unknown,Mice,Unknown,Unknown,0,1,0
Northern Cardinal,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Cardinalis,Cardinalis cardinalis," Small insects, worms",Unknown,Unknown,Unknown,"Insecticides, cats",Raised crest,"redbird, common cardinal",Unknown,"Wetlands, shrublands, gardens, woodlands",Omnivore,Unknown,Unknown,"Cardinal, red cardinal",19.0,North America and South America,Unknown,Unknown,BrownRedOlive,Feathers,37 mph,Up to 3 years,1.58oz,8.3-9.3 inches,Unknown,Unknown,Unknown,"Birds of prey, snakes, cats",Passerine,Unknown,Unknown,Unknown,Unknown,9.8-12.2 inches,12-13 days,Unknown,Unknown,Unknown,Unknown,Unknown,"Trees, shrubs",Unknown,Unknown,Unknown,Unknown,1,0,0
Junglefowl,['Asia'],Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,Unknown,"worms, slugs, insects, mice, small lizards, and frogs",Unknown,Unknown,Unknown,Crossbreeding with domestic chickens,"Bright colors, red crest in males","Wild chicken, bankiva, bankiva fowl",Unknown,"Field edges, forests, scrubland, mountains, islands",Omnivore,Unknown,Unknown,Junglefowl,4.0,"South Asia, Southeast Asia",Unknown,Unknown,BrownYellowRedBlueBlackWhiteGoldPurple,Feathers,Unknown,"3-14 years in the wild, 10-30 years in captivity",24-51oz; female 17-40oz,"Male 26-30in, female 14-18in",Unknown,Unknown,Unknown,"Birds of prey, land-dwelling carnivorous animals","Phasanid, bird",Unknown,Unknown,Unknown,Unknown,"Male 26-32in, female 14-25in",18-26 days,Unknown,Unknown,Unknown,Unknown,Unknown,Underbrush,1 year,Unknown,Unknown,Unknown,1,0,0
Guinea Fowl,['Africa'],Animalia,Chordata,Aves,Galliformes,Numididae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Forest, desert and grasslands",Omnivore,Unknown,Flock,Guinea Fowl,Unkown,Unknown,Found in a vairety of African habitats!,Unknown,BrownGreyYellowRedBlackWhite,Feathers,22 mph,10 - 20 years,0.7kg - 1.6kg (1.5lbs - 3.5lbs),40cm - 71cm (16in - 30in),Unknown,Unknown,Unknown,Large Mammals and Reptiles,Bird,Unknown,Large body size and bald neck,Unknown,Unknown,59-71 inches,4 weeks,Unknown,12.0,"Insects, Worms, Berries",Unknown,Unknown,Covered ground area,About 10 weeks,Insects,Unknown,Unknown,1,0,0
Quail,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Galliformes,Phasianidae,Coturnix,Coturnix Coturnix,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Woodland and forest areas,Omnivore,Unknown,Solitary,Unknown,Unkown,Unknown,Inhabits woodland and forest areas worldwide!,Unknown,BrownBlueBlackWhite,Feathers,15 mph,3 - 5 years,70g - 140g (2.4oz - 4.9oz),Unknown,Unknown,Unknown,Unknown,"Cats, Snakes, Raccoons",Bird,11cm - 20cm (4.5in - 7.8in),Small body size and brightly coloured eggs,Unknown,Unknown,30cm - 37cm (12in - 14.6in),Unknown,Unknown,6.0,"Seeds, Flowers, Insects",Unknown,Unknown,Unknown,Unknown,Seeds,Unknown,Unknown,1,0,0
Turkey,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Galliformes,Phasianidae,Meleagris,Meleagris,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Forest, shrubland and grassy plains",Omnivore,Unknown,Flock,Unknown,Unkown,Unknown,Closely related to pheasants and chickens!,Unknown,BrownYellowRedBlueBlackWhiteGreen,Feathers,6 mph,1-10 years,3-11kg (6.6-24lbs),Unknown,Unknown,Unknown,Unknown,"Fox, Snake, Raccoon",Bird,Unknown,Unknown,Unknown,Unknown,4.1-4.7 feet,25-31 days,Unknown,Unknown,"Insects, Nuts, Seeds, Berries",Unknown,Unknown,Wooded areas on the ground,20 weeks,Insects,Unknown,Unknown,1,0,0
